,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Ice Time,Ice Time,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,-9999
1,Jaromír Jágr,26,RW,81,44,83,127,17,66,33,10,1,7,49,34,0,343,12.8,1968:28,24:18,ASGASnhl-1ASnhl-6Hart-1Ross-1Pearson-1,jagrja01
2,Martin Straka,26,C,80,35,48,83,12,26,26,5,4,4,29,17,2,177,19.8,1870:04,23:23,ASGASnhl-8,strakma01
3,German Titov,33,C,72,11,45,56,18,34,7,3,1,3,29,16,0,113,9.7,1405:32,19:31,,titovge01
4,Alex Kovalev,25,RW,63,20,26,46,8,37,14,5,1,4,19,7,0,156,12.8,1291:33,20:30,,kovalal01
5,Robert Lang,28,C,72,21,23,44,-10,24,14,7,0,3,18,5,0,137,15.3,1180:36,16:24,,langro01
6,Kip Miller,29,C,77,19,23,42,1,22,18,1,0,4,18,5,0,125,15.2,1303:03,16:55,,milleki01
7,Jan Hrdina,22,C,82,13,29,42,-2,40,10,3,0,2,21,7,1,94,13.8,1346:57,16:26,Calder-6,hrdinja01
8,Kevin Hatcher,32,D,66,11,27,38,11,24,5,4,2,3,16,11,0,131,8.4,1625:54,24:38,ASnhl-18,hatchke01
9,Stu Barnes,28,C,64,20,12,32,-12,20,7,13,0,3,9,3,0,155,12.9,1143:31,17:52,,barnest01
10,Brad Werenka,29,D,81,6,18,24,17,93,5,1,0,4,15,1,2,77,7.8,1717:10,21:12,,werenbr01
11,Rob Brown,30,RW,58,13,11,24,-15,16,4,9,0,1,5,6,0,78,16.7,729:46,12:35,,brownro01
12,Jiří Šlégr,27,D,63,3,20,23,13,86,2,1,0,0,18,0,2,91,3.3,1177:39,18:42,,slegrji01
13,Aleksey Morozov,21,RW,67,9,10,19,5,14,9,0,0,0,10,0,0,75,12.0,792:23,11:50,,morozal01
14,Bobby Dollas,34,D,70,2,8,10,-3,60,2,0,0,0,7,0,1,34,5.9,1091:13,15:35,,dollabo01
15,Dan Kesa,27,RW,67,2,8,10,-9,27,2,0,0,0,6,2,0,33,6.1,678:14,10:07,,kesada01
16,Ian Moran,26,RW,62,4,5,9,1,37,3,0,1,0,5,0,0,65,6.2,1026:41,16:34,,morania01
17,Maxim Galanov,24,D,51,4,3,7,-8,14,2,2,0,0,2,1,0,44,9.1,775:45,15:13,,galanma01
18,Jeff Serowik,32,D,26,0,6,6,-4,16,0,0,0,0,3,3,0,26,0.0,414:26,15:56,,serowje01
19,Darius Kasparaitis,26,D,48,1,4,5,12,70,1,0,0,0,4,0,0,32,3.1,768:39,16:01,,kaspada01
20,Matthew Barnaby,25,RW,18,2,2,4,-10,34,1,1,0,0,2,0,0,27,7.4,243:56,13:33,,barnama01
21,Tom Barrasso,33,G,43,0,3,3,0,20,0,0,0,0,,,,0,,2306:15,53:38,,barrato01
22,Martin Sonnenberg,21,LW,44,1,1,2,-2,19,1,0,0,0,1,0,0,12,8.3,176:07,4:00,,sonnema01
23,Patrick Lebeau,28,LW,8,1,0,1,-2,2,1,0,0,0,0,0,0,4,25.0,76:16,9:32,,lebeapa01
24,Viktors Ignatjevs,28,D,11,0,1,1,-3,6,0,0,0,0,0,1,0,15,0.0,134:31,12:14,,ignatvi01
25,Greg Andrusak,29,D,7,0,1,1,4,4,0,0,0,0,1,0,0,2,0.0,123:53,17:42,,andrugr01
26,Neil Wilkinson,31,D,24,0,0,0,-2,22,0,0,0,0,0,0,0,11,0.0,239:08,9:58,,wilkine01
27,Chris Tamer,28,D,11,0,0,0,-2,32,0,0,0,0,0,0,0,2,0.0,65:47,5:59,,tamerch01
28,Tyler Wright,25,C,61,0,0,0,-2,90,0,0,0,0,0,0,0,16,0.0,229:23,3:46,,wrighty01
29,Harry York,24,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,5:59,2:60,,yorkha01
30,Pēteris Skudra,25,G,37,0,0,0,0,2,0,0,0,0,,,,0,,1849:14,49:59,Calder-12,skudrpe01
31,Pavel Skrbek,20,D,4,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,57:22,14:21,,skrbepa01
32,Ryan Savoia,25,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7:21,2:27,,savoiry01
33,Sean Pronger,26,C,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15:31,7:46,,prongse01
34,Sven Butenschön,22,D,17,0,0,0,-7,6,0,0,0,0,0,0,0,8,0.0,223:21,13:08,,butensv01
35,Brian Bonin,25,C,5,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,61:34,12:19,,boninbr01
36,Jean-Sébastien Aubin,21,G,17,0,0,0,0,0,0,0,0,0,,,,0,,756:15,44:29,,aubinje01
,Team Totals,,,82,242,417,659,25,965,167,65,10,38,287,119,8,2089,11.6,28879:27,18:28,,-9999
